canonical_verlan,variants,base_forms,is_multiword,has_hyphen,variant_count,raw_count,doc_count,pmw,share_of_all_verlan_hits
meuf,meuf,femme,False,False,1,79,79,19.3026,0.169892
çacomme,ça comme,comme ça,True,False,1,70,70,17.1036,0.150538
ken,ken,niquer,False,False,1,43,43,10.5065,0.092473
teuf,teuf,fête,False,False,1,37,37,9.0405,0.07957
zarbi,zarbi,bizarre,False,False,1,25,25,6.1084,0.053763
ouf,ouf,fou,False,False,1,25,25,6.1084,0.053763
vénère,vénère,énervé,False,False,1,15,15,3.6651,0.032258
resta,resta,star de star,False,False,1,13,13,3.1764,0.027957
tej,tej,jeter,False,False,1,12,12,2.932,0.025806
reum,reum,mère,False,False,1,10,10,2.4434,0.021505
scud,scud,disque,False,False,1,9,9,2.199,0.019355
zarb,zarb,bizarre,False,False,1,9,9,2.199,0.019355
laissebéton,laisse béton,laisser tomber,True,False,1,8,8,1.9547,0.017204
zen,zen,nez,False,False,1,8,8,1.9547,0.017204
zinc,zinc,cousin,False,False,1,7,7,1.7104,0.015054
duper,duper,perdu,False,False,1,7,7,1.7104,0.015054
keuf,keuf,flic,False,False,1,7,7,1.7104,0.015054
pécho,pécho,choper,False,False,1,7,7,1.7104,0.015054
beu,beu,herbe,False,False,1,6,6,1.466,0.012903
barjot,barjot,jobard,False,False,1,6,6,1.466,0.012903
loubard,loubard,balourd,False,False,1,6,6,1.466,0.012903
ripou,ripou,pourri,False,False,1,5,5,1.2217,0.010753
donf,donf,fond,False,False,1,5,5,1.2217,0.010753
