verlan_form,base_form,pos,etymology_text,gloss
anti rebeu,antiarabe ,adj,"Motdérivé de rebeu, avec le préfixe anti-. Le mot rebeu est une reverlanisation de arabe via beur.",Antiarabe.
babtou,toubab,noun,Verlan de toubab.,"Blanc, occidental."
balle-peau,peau de balle,pron,(verlan) Verlan de peau de balle.,Variante orthographique de ballepeau.
ballepeau,peau de balle,pron,(verlan) Verlan de peau de balle.,Rien.
balpeau,peau de balle,pron,(verlan) Verlan de peau de balle.,Variante orthographique de ballepeau.
barje,jobard,adj,"(verlan) Apocope de barjot (même sens), lui-même verlan de jobard.",Se dit d’une personne folle ou qui prend des risques.
barjo,jobard,adj,(Verlan). → voir barjot.,Variante orthographique de barjot.
barjot,jobard,adj,"(verlan) Verlan de jobard. Le terme barjot (nom 1) ne semblant pas être attesté comme nom commun avant 1956 ^([1]), l’origine de son usage serait peut-être liée à l’amiral Pierre Barjot qui, chargé de la partie aéronavale durant la crise du canal de Suez, aurait accompli une action insensée permettant pourtant la réussite de la mission. référence nécessaire (résoudre le problème)",Se dit d’une personne folle ou qui prend des risques.
barjoter,jobard,verb,"(verlan) De barjot, verlan de jobard.","Perdre la tête, avoir une idée fixe."
bebar,barbe,noun,(verlan) De barbe.,Variante orthographique de beubar.
bebon,bombe De bombe,noun,Verlan de bombe De bombe.,"Bombe (de peinture, lacrymogène, etc.)."
bedave,daube,verb,"(verlan) Dérive de bédo, qui vient peut-être lui-même du verlan de daube (« résine de cannabis »).",S'adonner à fumer du cannabis ou du haschich.
beteu,teub,noun,Reverlanisation de teub.,Variante de beuteu.
beu,herbe,noun,"(verlan) apocope de beuhère (prononcé \bø.ɛʁ\), verlan de herbe.",Cannabis sous forme de fleurs sèches.
beubar,barbe,noun,(verlan) De barbe.,Pilosité faciale développée.
beuher,herbe,noun,"(verlan) Verlan de herbe, → voir beu.",Inflorescences de cannabis.
beuj,jambe,noun,(verlan) De jambe. apocope de beujan,Jambe.
beuje,jambe,noun,"Apocope de beujam, verlan de jambe.",Jambe.
beur,arabe,noun,(verlan) Verlan de arabe.,Personne d’origine maghrébine.
beurette,beur,noun,Dérivé de beur (verlan) avec le suffixe -ette.,Femme française d’origine maghrébine.
beuteu,teub référence nécessaire,noun,Reverlanisation de teub référence nécessaire (résoudre le problème).,Pénis ; verge.
bheu,herbe,noun,"De herbe, en verlan.","Herbe, cannabis."
bil-ka,kabyle,adj,"(verlan) Verlan de kabyle avec remplacement du ""y"" par un ""i"".",Kabyle.
bleta,table,noun,(verlan) Du nom table.,"Table, meuble de surface plane utilisé pour poser des objets ou plus particulièrement pour manger."
blèmepro,problème,noun,Verlan de problème de problème.,Problème ; souci ; difficulté.
bolos,lobos,noun,"Mot apparu dans la banlieue parisienne ((Val-de-Marne) ou (Seine-Saint-Denis)) dans les années 2000, d’origine incertaine : || espagnol bolo (« fou ») de l’argot de Tolède, soninké boros (« pigeon »), arabe référence nécessaire (résoudre le problème). || Le dictionnaire de la zone cite l’hypothèse du linguiste Jean-Pierre Goudaillier selon laquelle bolos serait le Verlan de lobos (« lobotomisés »). || Une autre hypothèse est l'évolution Verlan de salaud > (verlan) lauss > mon lauss > beau lauss > bolos, compte tenu de l'utilisation de mon lauss dès 1995 par Sté Strausz dans le refrain du titre de rap C'est la même histoire. || Origine inconnue, selon Alain Rey.","Client du marché noir, qui achète de la drogue à un dealer."
brolique,calibre,noun,"(verlan) Viendrait du verlan de calibre. En Verlan Calibre... Brelica... brelc... || Puis popularisé et utilisé par des rappeurs tels que Booba, Rohff, Tandem…","Arme de poing, revolver."
bédav,daube,verb,"Formé à partir du mot français bédo, lui-même verlan de « daube », pris dans le sens de haschisch de médiocre qualité, puis de haschisch sans connotation particulière. La terminaison en -av rappelle le romani, la langue des Roms dont s’inspire l’argot gitan, qui inspire lui-même l’argot des cités.",Fumer (en particulier fumer du haschisch ou de la marijuana).
