verlan_form,base_form,pos,etymology_text,gloss
babtou,toubab,noun,Verlan de toubab.,"Blanc, occidental."
balle-peau,peau de balle,pron,(verlan) Verlan de peau de balle.,Variante orthographique de ballepeau.
barjot,jobard,adj,"(verlan) Verlan de jobard. Le terme barjot (nom 1) ne semblant pas être attesté comme nom commun avant 1956 ^([1]), l’origine de son usage serait peut-être liée à l’amiral Pierre Barjot qui, chargé de la partie aéronavale durant la crise du canal de Suez, aurait accompli une action insensée permettant pourtant la réussite de la mission. référence nécessaire (résoudre le problème)",Se dit d’une personne folle ou qui prend des risques.
bebar,barbe,noun,(verlan) De barbe.,Variante orthographique de beubar.
bebon,bombe,noun,Verlan de bombe De bombe.,"Bombe (de peinture, lacrymogène, etc.)."
beteu,teub,noun,Reverlanisation de teub.,Variante de beuteu.
beu,herbe,noun,"(verlan) apocope de beuhère (prononcé \bø.ɛʁ\), verlan de herbe.",Cannabis sous forme de fleurs sèches.
beubar,barbe,noun,(verlan) De barbe.,Pilosité faciale développée.
beuher,herbe,noun,"(verlan) Verlan de herbe, → voir beu.",Inflorescences de cannabis.
beuj,jambe,noun,(verlan) De jambe. apocope de beujan,Jambe.
beuje,jambe,noun,"Apocope de beujam, verlan de jambe.",Jambe.
beur,arabe,noun,(verlan) Verlan de arabe.,Personne d’origine maghrébine.
beurette,beur,noun,Dérivé de beur (verlan) avec le suffixe -ette.,Femme française d’origine maghrébine.
beuteu,teub,noun,Reverlanisation de teub référence nécessaire (résoudre le problème).,Pénis ; verge.
bheu,herbe,noun,"De herbe, en verlan.","Herbe, cannabis."
bil-ka,kabyle,adj,"(verlan) Verlan de kabyle avec remplacement du ""y"" par un ""i"".",Kabyle.
bleta,table,noun,(verlan) Du nom table.,"Table, meuble de surface plane utilisé pour poser des objets ou plus particulièrement pour manger."
blèmepro,problème,noun,Verlan de problème de problème.,Problème ; souci ; difficulté.
