canonical_verlan,variants,base_forms,is_multiword,has_hyphen,variant_count,raw_count,doc_count,pmw,share_of_all_verlan_hits
meuf,meuf,femme,False,False,1,79,79,19.3026,0.169892
çacomme,ça comme,comme ça,True,False,1,70,70,17.1036,0.150538
ken,ken,niquer,False,False,1,43,43,10.5065,0.092473
teuf,teuf,fête,False,False,1,37,37,9.0405,0.07957
zarbi,zarbi,bizarre,False,False,1,25,25,6.1084,0.053763
ouf,ouf,fou,False,False,1,25,25,6.1084,0.053763
vénère,vénère,énervé,False,False,1,15,15,3.6651,0.032258
resta,resta,star de star,False,False,1,13,13,3.1764,0.027957
tej,tej,jeter,False,False,1,12,12,2.932,0.025806
reum,reum,mère,False,False,1,10,10,2.4434,0.021505
scud,scud,disque,False,False,1,9,9,2.199,0.019355
zarb,zarb,bizarre,False,False,1,9,9,2.199,0.019355
laissebéton,laisse béton,laisser tomber,True,False,1,8,8,1.9547,0.017204
zen,zen,nez,False,False,1,8,8,1.9547,0.017204
zinc,zinc,cousin,False,False,1,7,7,1.7104,0.015054
duper,duper,perdu,False,False,1,7,7,1.7104,0.015054
keuf,keuf,flic,False,False,1,7,7,1.7104,0.015054
pécho,pécho,choper,False,False,1,7,7,1.7104,0.015054
beu,beu,herbe,False,False,1,6,6,1.466,0.012903
barjot,barjot,jobard,False,False,1,6,6,1.466,0.012903
loubard,loubard,balourd,False,False,1,6,6,1.466,0.012903
ripou,ripou,pourri,False,False,1,5,5,1.2217,0.010753
donf,donf,fond,False,False,1,5,5,1.2217,0.010753
tepu,tepu,pute,False,False,1,4,4,0.9773,0.008602
keum,keum,mec,False,False,1,3,3,0.733,0.006452
tèj,tèj,jeter,False,False,1,3,3,0.733,0.006452
relou,relou,lourd,False,False,1,3,3,0.733,0.006452
visser,visser,servir,False,False,1,3,3,0.733,0.006452
zique,zique,musique,False,False,1,3,3,0.733,0.006452
dreu,dreu,poudre,False,False,1,3,3,0.733,0.006452
teub,teub,bite,False,False,1,2,2,0.4887,0.004301
chichon,chichon,haschich,False,False,1,2,2,0.4887,0.004301
das,das,sida,False,False,1,2,2,0.4887,0.004301
taspé,taspé,pétasse,False,False,1,2,2,0.4887,0.004301
reup,reup,père,False,False,1,2,2,0.4887,0.004301
àdonf,à donf,à fond,True,False,1,2,2,0.4887,0.004301
téci,téci,cité,False,False,1,1,1,0.2443,0.002151
bedave,bedave,daube,False,False,1,1,1,0.2443,0.002151
feuge,feuge,juif,False,False,1,1,1,0.2443,0.002151
guedin,guedin,dingue,False,False,1,1,1,0.2443,0.002151
chelou,chelou,louche,False,False,1,1,1,0.2443,0.002151
tehon,tehon,honte,False,False,1,1,1,0.2443,0.002151
sema,sema,masse,False,False,1,1,1,0.2443,0.002151
zyva,zy-va|zyva,vas-y,False,True,2,1,1,0.2443,0.002151
oinj,oinj,joint,False,False,1,1,1,0.2443,0.002151
painco,painco,copain,False,False,1,1,1,0.2443,0.002151
tarpé,tarpé,pétard,False,False,1,1,1,0.2443,0.002151
skeud,skeud,disque,False,False,1,1,1,0.2443,0.002151
dass,dass,sida,False,False,1,0,0,0.0,0.0
chiend'lasseca,chien d'la sseca,chien de la casse,True,False,1,0,0,0.0,0.0
chanmé,chanmé,méchant,False,False,1,0,0,0.0,0.0
cheum,cheum,moche,False,False,1,0,0,0.0,0.0
chepo,chepo,poche,False,False,1,0,0,0.0,0.0
