canonical_verlan	matched_variant	line_no	sentence
barjot	barjot	577993	Tu ne boirais pas si un barjot t'avait ruiné en te faisant miroiter gloire et fortune?
beu	beu	214995	Putain, ce droit à l'image, c'est plus rentable que vendre de la beu
beu	beu	217834	Tout le monde pipait sec, une forêt de beu.
beu	beu	218669	Parole de beu!
beu	beu	218866	Je fais pousser ma beu.
beu	beu	218873	De la beu maison.
beu	beu	218874	Ouais, la beu maison, c'est d'enfer!
donf	donf	151440	Depuis cette époque, hip- hop à donf.
donf	donf	151783	A donf!
donf	donf	151793	A donf.
donf	donf	218156	Je suis excité à donf! ça va chier des bulles psychédéliques!
donf	donf	218668	A donf, man.
duper	duper	80650	C'est plus facile de duper 100. 000 personnes qu'une seule.
duper	duper	148260	"Elle ""exigeationnait"" un homme doué en affaires... mais facile à duper et à contrôler."
duper	duper	316291	Je ne veux duper personne.
duper	duper	392506	Impossible de nous duper!
duper	duper	564262	Ils vont te duper...... te blesser, te mentir!
duper	duper	611066	C'est la journée pour duper les flics.
duper	duper	735624	Alors cette cassette devrait t'aider à les duper.
ken	ken	27832	Depuis la mort de Ken, je suis comme un canari... qui ne sait plus chanter.
ken	ken	27836	Alors Ken est mort?
ken	ken	98720	Ken.
ken	ken	99679	Ken Cortland, mon mari.
ken	ken	151224	Et Ken?
ken	ken	151226	Ken est...
ken	ken	166065	- Le frère de Ken a démoli Victor.
ken	ken	166072	Pourquoi il a frappé Ken?
ken	ken	166264	Ken, tu veux bien signer ça?
ken	ken	309985	Ken?
ken	ken	314254	Cabinet d'avocat, Ken Bowden, procureur
ken	ken	314255	Je viens voir Ken Bowden.
ken	ken	314337	Ken, je baise pas mes élèves.
ken	ken	314416	Je te dis, Ken, je suis innocent.
ken	ken	314590	Tu sais, Ken.
ken	ken	314591	Je peux t'appeler Ken?
ken	ken	314599	Ken.
ken	ken	314619	Tu as bien fait, Ken.
ken	ken	338119	Ici Ken Rudolph au Motel Glen Capri où une altercation entre la police et un homme a finit en bain de sang.
ken	ken	358389	Ken?
ken	ken	374121	Ken?
ken	ken	472464	MITSUISHI Ken
ken	ken	580370	C'est Ken?
ken	ken	669996	Tous les Jedi, ainsi que ton ami Obi- Wan Ken obi sont maintenant ennemis de la République.
ken	ken	670045	Avez- vous trouvé Ken obi?
ken	ken	670312	Maître Ken obi!
ken	ken	670363	506 01: 09: 02, 250 -- > 01: 09: 03, 112 Maître Ken obi,
ken	ken	689279	Je m'appelle Ken.
ken	ken	689281	Ken, oncle Chung de Taiwan m'a dit de venir vous voir.
ken	ken	689308	- Ken, vous êtes très gentil.
ken	ken	689417	Merci Ken!
ken	ken	689451	Ken, je dois sortir un moment.
ken	ken	689582	- Quoi de neuf, Ken?
ken	ken	689615	Ken, c'est ma faute.
ken	ken	689624	Ken!
ken	ken	689630	Ken, que faisons- nous maintenant?
ken	ken	706897	Ken... j'aimerais prendre ma retraite.
ken	ken	731710	Ken... shin...
ken	ken	731816	Kanuma, Shogetsu Ken
ken	ken	731831	Kanuma Shouyo Ken
ken	ken	731834	Shouyo Ken
ken	ken	731835	Shouyo Ken attaque en 2 parties après un cercle
ken	ken	731856	Kanuma... Shouen Ken
keuf	keuf	563009	Je vais te trouer, sale keuf!
keuf	keuf	658187	- Suce- moi, keuf!
laissebéton	laisse béton	99300	Laisse béton, OK?
laissebéton	laisse béton	260515	Laisse béton.
laissebéton	laisse béton	349402	Laisse béton hier soir.
laissebéton	laisse béton	349890	Laisse béton cette caisse, B.
laissebéton	laisse béton	350578	Laisse béton.
laissebéton	laisse béton	426485	C'est moi qui l'ai laissé filer, laisse béton!
laissebéton	laisse béton	616190	- Laisse béton.
laissebéton	laisse béton	719345	Laisse béton.
loubard	loubard	36471	Suce ma grosse bite, loubard à deux balles.
loubard	loubard	217869	Je t'assure, de quoi rendre Hare Krishna loubard.
loubard	loubard	259335	Il avait été loubard avant de trouver Dieu.
meuf	meuf	23580	Ça, c'est de la meuf!
meuf	meuf	85857	Tu vois... j'ai sauvé son petit cul... et c'est lui qui a emballé la meuf.
meuf	meuf	92742	Ouais, c'est un peu comme être avec une meuf sans dents.
meuf	meuf	95569	Sans meuf, on baise pas.
meuf	meuf	95790	La meuf a reçu un verre.
meuf	meuf	98445	Cette meuf te kife, mec.
meuf	meuf	98473	Je vais me taper une meuf avant le mariage.
meuf	meuf	98548	Cette meuf, Stephanie, y a rien à jeter chez elle.
meuf	meuf	133812	- Hal le beauf cherche une meuf.
meuf	meuf	133814	Hal le beauf cherche une meuf.
meuf	meuf	133875	"En disant ""Hal le beauf cherche une meuf"", je t'ai guéri."
meuf	meuf	165282	C'est toi qui veux chouraver ma meuf.
meuf	meuf	165601	Je ne l'ai pas sortie devant une meuf, depuis.
meuf	meuf	177332	Criez pour la meuf!
meuf	meuf	179761	- Regarde la meuf.
meuf	meuf	188652	Bon, maintenant tu es ma meuf.
meuf	meuf	206564	La meuf arrive et il la poursuit à travers la maison.
meuf	meuf	215502	Ça dépend de la meuf
meuf	meuf	215815	La meuf de la fac l'a dit
meuf	meuf	216074	Si t'oses pas filmer une meuf à poil chez toi t'oseras jamais en baiser une
meuf	meuf	218633	Je ferai rien, c'est ta meuf.
meuf	meuf	218634	Ouais, c'est ma meuf, pigé?
meuf	meuf	233297	"Sa meuf dit... qu"" il est au ciné."
meuf	meuf	233337	Sa meuf...
meuf	meuf	262786	- Il mate mon cul comme si j'étais une meuf.
meuf	meuf	262788	Joue la meuf ou tu joueras la chômeuse.
meuf	meuf	262888	Je lui dis que je vais jeter ma meuf.
meuf	meuf	264191	Fabuleux, vraiment... de passer un an avec une meuf canon... et de rien trouver de mieux à me raconter... qu'une histoire d'ivrogne.
meuf	meuf	264256	Si tu veux un fils, je m'occupe de ta meuf.
meuf	meuf	265088	Faisons ca bien et on rentrera.... sauter notre meuf ce soir.
meuf	meuf	267489	Pose ce flingue par terre avant de faire une crise cardiaque à ma meuf.
meuf	meuf	349671	"""Dégage, super meuf""!"
meuf	meuf	349758	A / ex Latourno Meuf d'enfer mais pas trop
meuf	meuf	349769	Je suis ta meuf.
meuf	meuf	349770	T'es pas ma meuf.
