id,phenomenon,standard_sentence,informal_sentence,meaning_same,notes,standard_tokens,informal_tokens,standard_token_count,informal_token_count,standard_pll_score,informal_pll_score,standard_nll_score,informal_nll_score,standard_perplexity,informal_perplexity,representation_cosine_similarity,model_family
1,verlan,Je ne veux pas parler a cette femme ce soir.,Je veux pas parler a cette meuf ce soir.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['Ġ', 'J', 'e', 'Ġ', 'n', 'e', 'Ġ', 'v', 'e', 'u', 'x', 'Ġ', 'p', 'a', 's', 'Ġ', 'p', 'a', 'r', 'l', 'e', 'r', 'Ġ', 'a', 'Ġ', 'c', 'e', 't', 't', 'e', 'Ġ', 'f', 'e', 'm', 'm', 'e', 'Ġ', 'c', 'e', 'Ġ', 's', 'o', 'i', 'r', '.']","['Ġ', 'J', 'e', 'Ġ', 'v', 'e', 'u', 'x', 'Ġ', 'p', 'a', 's', 'Ġ', 'p', 'a', 'r', 'l', 'e', 'r', 'Ġ', 'a', 'Ġ', 'c', 'e', 't', 't', 'e', 'Ġ', 'm', 'e', 'u', 'f', 'Ġ', 'c', 'e', 'Ġ', 's', 'o', 'i', 'r', '.']",45,41,-3.4912984212239584,-3.3909863727848704,,,,,0.9970162510871887,masked_lm
2,verlan,Je ne vais pas a la fete de mon frere demain.,Je vais pas a la teuf de mon reuf demain.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['Ġ', 'J', 'e', 'Ġ', 'n', 'e', 'Ġ', 'v', 'a', 'i', 's', 'Ġ', 'p', 'a', 's', 'Ġ', 'a', 'Ġ', 'l', 'a', 'Ġ', 'f', 'e', 't', 'e', 'Ġ', 'd', 'e', 'Ġ', 'm', 'o', 'n', 'Ġ', 'f', 'r', 'e', 'r', 'e', 'Ġ', 'd', 'e', 'm', 'a', 'i', 'n', '.']","['Ġ', 'J', 'e', 'Ġ', 'v', 'a', 'i', 's', 'Ġ', 'p', 'a', 's', 'Ġ', 'a', 'Ġ', 'l', 'a', 'Ġ', 't', 'e', 'u', 'f', 'Ġ', 'd', 'e', 'Ġ', 'm', 'o', 'n', 'Ġ', 'r', 'e', 'u', 'f', 'Ġ', 'd', 'e', 'm', 'a', 'i', 'n', '.']",46,42,-2.4678711683853813,-2.5828503654116677,,,,,0.993366539478302,masked_lm
3,verlan,Je ne trouve pas ce type tres bizarre au fond.,Je trouve pas ce mec tres zarbi au fond.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['Ġ', 'J', 'e', 'Ġ', 'n', 'e', 'Ġ', 't', 'r', 'o', 'u', 'v', 'e', 'Ġ', 'p', 'a', 's', 'Ġ', 'c', 'e', 'Ġ', 't', 'y', 'p', 'e', 'Ġ', 't', 'r', 'e', 's', 'Ġ', 'b', 'i', 'z', 'a', 'r', 'r', 'e', 'Ġ', 'a', 'u', 'Ġ', 'f', 'o', 'n', 'd', '.']","['Ġ', 'J', 'e', 'Ġ', 't', 'r', 'o', 'u', 'v', 'e', 'Ġ', 'p', 'a', 's', 'Ġ', 'c', 'e', 'Ġ', 'm', 'e', 'c', 'Ġ', 't', 'r', 'e', 's', 'Ġ', 'z', 'a', 'r', 'b', 'i', 'Ġ', 'a', 'u', 'Ġ', 'f', 'o', 'n', 'd', '.']",47,41,-2.7006259674721576,-3.037670414622237,,,,,0.9962617754936218,masked_lm
4,verlan,Je ne peux pas laisser ce policier entrer dans la maison.,Je peux pas laisser ce keuf entrer dans la zonmai.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['Ġ', 'J', 'e', 'Ġ', 'n', 'e', 'Ġ', 'p', 'e', 'u', 'x', 'Ġ', 'p', 'a', 's', 'Ġ', 'l', 'a', 'i', 's', 's', 'e', 'r', 'Ġ', 'c', 'e', 'Ġ', 'p', 'o', 'l', 'i', 'c', 'i', 'e', 'r', 'Ġ', 'e', 'n', 't', 'r', 'e', 'r', 'Ġ', 'd', 'a', 'n', 's', 'Ġ', 'l', 'a', 'Ġ', 'm', 'a', 'i', 's', 'o', 'n', '.']","['Ġ', 'J', 'e', 'Ġ', 'p', 'e', 'u', 'x', 'Ġ', 'p', 'a', 's', 'Ġ', 'l', 'a', 'i', 's', 's', 'e', 'r', 'Ġ', 'c', 'e', 'Ġ', 'k', 'e', 'u', 'f', 'Ġ', 'e', 'n', 't', 'r', 'e', 'r', 'Ġ', 'd', 'a', 'n', 's', 'Ġ', 'l', 'a', 'Ġ', 'z', 'o', 'n', 'm', 'a', 'i', '.']",58,51,-2.8093159116547683,-2.874993866565181,,,,,0.9957880973815918,masked_lm
5,verlan,Je ne supporte plus ce cours tres penible.,Je supporte plus ce cours trop relou.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['Ġ', 'J', 'e', 'Ġ', 'n', 'e', 'Ġ', 's', 'u', 'p', 'p', 'o', 'r', 't', 'e', 'Ġ', 'p', 'l', 'u', 's', 'Ġ', 'c', 'e', 'Ġ', 'c', 'o', 'u', 'r', 's', 'Ġ', 't', 'r', 'e', 's', 'Ġ', 'p', 'e', 'n', 'i', 'b', 'l', 'e', '.']","['Ġ', 'J', 'e', 'Ġ', 's', 'u', 'p', 'p', 'o', 'r', 't', 'e', 'Ġ', 'p', 'l', 'u', 's', 'Ġ', 'c', 'e', 'Ġ', 'c', 'o', 'u', 'r', 's', 'Ġ', 't', 'r', 'o', 'p', 'Ġ', 'r', 'e', 'l', 'o', 'u', '.']",43,38,-3.0536040816196177,-3.4772668135793587,,,,,0.992672324180603,masked_lm
6,verlan,Je ne veux pas appeler ma mere devant la police.,Je veux pas appeler ma reum devant les keufs.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['Ġ', 'J', 'e', 'Ġ', 'n', 'e', 'Ġ', 'v', 'e', 'u', 'x', 'Ġ', 'p', 'a', 's', 'Ġ', 'a', 'p', 'p', 'e', 'l', 'e', 'r', 'Ġ', 'm', 'a', 'Ġ', 'm', 'e', 'r', 'e', 'Ġ', 'd', 'e', 'v', 'a', 'n', 't', 'Ġ', 'l', 'a', 'Ġ', 'p', 'o', 'l', 'i', 'c', 'e', '.']","['Ġ', 'J', 'e', 'Ġ', 'v', 'e', 'u', 'x', 'Ġ', 'p', 'a', 's', 'Ġ', 'a', 'p', 'p', 'e', 'l', 'e', 'r', 'Ġ', 'm', 'a', 'Ġ', 'r', 'e', 'u', 'm', 'Ġ', 'd', 'e', 'v', 'a', 'n', 't', 'Ġ', 'l', 'e', 's', 'Ġ', 'k', 'e', 'u', 'f', 's', '.']",49,46,-2.9822912410813935,-2.866719038590141,,,,,0.9925984144210815,masked_lm
7,verlan,Je ne comprends pas pourquoi ce type est fou.,Je comprends pas pourquoi ce mec est ouf.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['Ġ', 'J', 'e', 'Ġ', 'n', 'e', 'Ġ', 'c', 'o', 'm', 'p', 'r', 'e', 'n', 'd', 's', 'Ġ', 'p', 'a', 's', 'Ġ', 'p', 'o', 'u', 'r', 'q', 'u', 'o', 'i', 'Ġ', 'c', 'e', 'Ġ', 't', 'y', 'p', 'e', 'Ġ', 'e', 's', 't', 'Ġ', 'f', 'o', 'u', '.']","['Ġ', 'J', 'e', 'Ġ', 'c', 'o', 'm', 'p', 'r', 'e', 'n', 'd', 's', 'Ġ', 'p', 'a', 's', 'Ġ', 'p', 'o', 'u', 'r', 'q', 'u', 'o', 'i', 'Ġ', 'c', 'e', 'Ġ', 'm', 'e', 'c', 'Ġ', 'e', 's', 't', 'Ġ', 'o', 'u', 'f', '.']",46,42,-3.7947935021441914,-4.084813799176898,,,,,0.9964139461517334,masked_lm
8,verlan,Je ne garde pas mon argent dans cette maison.,Je garde pas ma thune dans cette zonmai.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['Ġ', 'J', 'e', 'Ġ', 'n', 'e', 'Ġ', 'g', 'a', 'r', 'd', 'e', 'Ġ', 'p', 'a', 's', 'Ġ', 'm', 'o', 'n', 'Ġ', 'a', 'r', 'g', 'e', 'n', 't', 'Ġ', 'd', 'a', 'n', 's', 'Ġ', 'c', 'e', 't', 't', 'e', 'Ġ', 'm', 'a', 'i', 's', 'o', 'n', '.']","['Ġ', 'J', 'e', 'Ġ', 'g', 'a', 'r', 'd', 'e', 'Ġ', 'p', 'a', 's', 'Ġ', 'm', 'a', 'Ġ', 't', 'h', 'u', 'n', 'e', 'Ġ', 'd', 'a', 'n', 's', 'Ġ', 'c', 'e', 't', 't', 'e', 'Ġ', 'z', 'o', 'n', 'm', 'a', 'i', '.']",46,41,-2.887895169465438,-2.9054894331024914,,,,,0.9930397868156433,masked_lm
9,verlan,Je ne peux pas ecouter cette musique avec ce type.,Je peux pas ecouter cette zic avec ce mec.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['Ġ', 'J', 'e', 'Ġ', 'n', 'e', 'Ġ', 'p', 'e', 'u', 'x', 'Ġ', 'p', 'a', 's', 'Ġ', 'e', 'c', 'o', 'u', 't', 'e', 'r', 'Ġ', 'c', 'e', 't', 't', 'e', 'Ġ', 'm', 'u', 's', 'i', 'q', 'u', 'e', 'Ġ', 'a', 'v', 'e', 'c', 'Ġ', 'c', 'e', 'Ġ', 't', 'y', 'p', 'e', '.']","['Ġ', 'J', 'e', 'Ġ', 'p', 'e', 'u', 'x', 'Ġ', 'p', 'a', 's', 'Ġ', 'e', 'c', 'o', 'u', 't', 'e', 'r', 'Ġ', 'c', 'e', 't', 't', 'e', 'Ġ', 'z', 'i', 'c', 'Ġ', 'a', 'v', 'e', 'c', 'Ġ', 'c', 'e', 'Ġ', 'm', 'e', 'c', '.']",51,43,-3.514852187212776,-3.133522211119186,,,,,0.9945430159568787,masked_lm
10,verlan,Je ne vais pas faire ce travail bizarre ce soir.,Je vais pas faire ce taf chelou ce soir.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['Ġ', 'J', 'e', 'Ġ', 'n', 'e', 'Ġ', 'v', 'a', 'i', 's', 'Ġ', 'p', 'a', 's', 'Ġ', 'f', 'a', 'i', 'r', 'e', 'Ġ', 'c', 'e', 'Ġ', 't', 'r', 'a', 'v', 'a', 'i', 'l', 'Ġ', 'b', 'i', 'z', 'a', 'r', 'r', 'e', 'Ġ', 'c', 'e', 'Ġ', 's', 'o', 'i', 'r', '.']","['Ġ', 'J', 'e', 'Ġ', 'v', 'a', 'i', 's', 'Ġ', 'p', 'a', 's', 'Ġ', 'f', 'a', 'i', 'r', 'e', 'Ġ', 'c', 'e', 'Ġ', 't', 'a', 'f', 'Ġ', 'c', 'h', 'e', 'l', 'o', 'u', 'Ġ', 'c', 'e', 'Ġ', 's', 'o', 'i', 'r', '.']",49,41,-2.3234881965481504,-2.3753179689732993,,,,,0.9908255338668823,masked_lm
