verlan,standard,template_group,template,variant,target_word,sentence,sentence_tokens,target_tokens,token_span_start,token_span_end,char_span_start,char_span_end,num_sentence_tokens,num_target_subwords
meufs,femmes,noun_plural,Les X sont très joyeuses.,verlan,meufs,Les meufs sont très joyeuses.,"[""<s>"", ""▁Les"", ""▁me"", ""uf"", ""s"", ""▁sont"", ""▁très"", ""▁joyeuse"", ""s"", ""."", ""</s>""]","[""▁me"", ""uf"", ""s""]",2,5,4,9,11,3
meufs,femmes,noun_plural,Les X sont très joyeuses.,standard,femmes,Les femmes sont très joyeuses.,"[""<s>"", ""▁Les"", ""▁femmes"", ""▁sont"", ""▁très"", ""▁joyeuse"", ""s"", ""."", ""</s>""]","[""▁femmes""]",2,3,4,10,9,1
meufs,femmes,noun_plural,Je parle avec ces X.,verlan,meufs,Je parle avec ces meufs.,"[""<s>"", ""▁Je"", ""▁parle"", ""▁avec"", ""▁ces"", ""▁me"", ""uf"", ""s"", ""."", ""</s>""]","[""▁me"", ""uf"", ""s""]",5,8,18,23,10,3
meufs,femmes,noun_plural,Je parle avec ces X.,standard,femmes,Je parle avec ces femmes.,"[""<s>"", ""▁Je"", ""▁parle"", ""▁avec"", ""▁ces"", ""▁femmes"", ""."", ""</s>""]","[""▁femmes""]",5,6,18,24,8,1
meufs,femmes,noun_plural,On voit les X dans la rue.,verlan,meufs,On voit les meufs dans la rue.,"[""<s>"", ""▁On"", ""▁voit"", ""▁les"", ""▁me"", ""uf"", ""s"", ""▁dans"", ""▁la"", ""▁rue"", ""."", ""</s>""]","[""▁me"", ""uf"", ""s""]",4,7,12,17,12,3
meufs,femmes,noun_plural,On voit les X dans la rue.,standard,femmes,On voit les femmes dans la rue.,"[""<s>"", ""▁On"", ""▁voit"", ""▁les"", ""▁femmes"", ""▁dans"", ""▁la"", ""▁rue"", ""."", ""</s>""]","[""▁femmes""]",4,5,12,18,10,1
teuf,fête,noun_singular,La X commence bientôt.,verlan,teuf,La teuf commence bientôt.,"[""<s>"", ""▁La"", ""▁te"", ""uf"", ""▁commence"", ""▁bientôt"", ""."", ""</s>""]","[""▁te"", ""uf""]",2,4,3,7,8,2
teuf,fête,noun_singular,La X commence bientôt.,standard,fête,La fête commence bientôt.,"[""<s>"", ""▁La"", ""▁fête"", ""▁commence"", ""▁bientôt"", ""."", ""</s>""]","[""▁fête""]",2,3,3,7,7,1
teuf,fête,noun_singular,On parle souvent de cette X.,verlan,teuf,On parle souvent de cette teuf.,"[""<s>"", ""▁On"", ""▁parle"", ""▁souvent"", ""▁de"", ""▁cette"", ""▁te"", ""uf"", ""."", ""</s>""]","[""▁te"", ""uf""]",6,8,26,30,10,2
teuf,fête,noun_singular,On parle souvent de cette X.,standard,fête,On parle souvent de cette fête.,"[""<s>"", ""▁On"", ""▁parle"", ""▁souvent"", ""▁de"", ""▁cette"", ""▁fête"", ""."", ""</s>""]","[""▁fête""]",6,7,26,30,9,1
teuf,fête,noun_singular,Cette X était incroyable.,verlan,teuf,Cette teuf était incroyable.,"[""<s>"", ""▁Cette"", ""▁te"", ""uf"", ""▁était"", ""▁incroyable"", ""."", ""</s>""]","[""▁te"", ""uf""]",2,4,6,10,8,2
teuf,fête,noun_singular,Cette X était incroyable.,standard,fête,Cette fête était incroyable.,"[""<s>"", ""▁Cette"", ""▁fête"", ""▁était"", ""▁incroyable"", ""."", ""</s>""]","[""▁fête""]",2,3,6,10,7,1
vénère,énervé,adj_person,Il est vraiment X aujourd'hui.,verlan,vénère,Il est vraiment vénère aujourd'hui.,"[""<s>"", ""▁Il"", ""▁est"", ""▁vraiment"", ""▁vé"", ""n"", ""ère"", ""▁aujourd"", ""'"", ""hui"", ""."", ""</s>""]","[""▁vé"", ""n"", ""ère""]",4,7,16,22,12,3
vénère,énervé,adj_person,Il est vraiment X aujourd'hui.,standard,énervé,Il est vraiment énervé aujourd'hui.,"[""<s>"", ""▁Il"", ""▁est"", ""▁vraiment"", ""▁énervé"", ""▁aujourd"", ""'"", ""hui"", ""."", ""</s>""]","[""▁énervé""]",4,5,16,22,10,1
vénère,énervé,adj_person,Je le trouve très X en ce moment.,verlan,vénère,Je le trouve très vénère en ce moment.,"[""<s>"", ""▁Je"", ""▁le"", ""▁trouve"", ""▁très"", ""▁vé"", ""n"", ""ère"", ""▁en"", ""▁ce"", ""▁moment"", ""."", ""</s>""]","[""▁vé"", ""n"", ""ère""]",5,8,18,24,13,3
vénère,énervé,adj_person,Je le trouve très X en ce moment.,standard,énervé,Je le trouve très énervé en ce moment.,"[""<s>"", ""▁Je"", ""▁le"", ""▁trouve"", ""▁très"", ""▁énervé"", ""▁en"", ""▁ce"", ""▁moment"", ""."", ""</s>""]","[""▁énervé""]",5,6,18,24,11,1
vénère,énervé,adj_person,Pourquoi est-il si X ?,verlan,vénère,Pourquoi est-il si vénère ?,"[""<s>"", ""▁Pourquoi"", ""▁est"", ""-"", ""il"", ""▁si"", ""▁vé"", ""n"", ""ère"", ""▁?"", ""</s>""]","[""▁vé"", ""n"", ""ère""]",6,9,19,25,11,3
vénère,énervé,adj_person,Pourquoi est-il si X ?,standard,énervé,Pourquoi est-il si énervé ?,"[""<s>"", ""▁Pourquoi"", ""▁est"", ""-"", ""il"", ""▁si"", ""▁énervé"", ""▁?"", ""</s>""]","[""▁énervé""]",6,7,19,25,9,1
zarbi,bizarre,adj_thing,Cette histoire est vraiment X.,verlan,zarbi,Cette histoire est vraiment zarbi.,"[""<s>"", ""▁Cette"", ""▁histoire"", ""▁est"", ""▁vraiment"", ""▁"", ""zar"", ""bi"", ""."", ""</s>""]","[""zar"", ""bi""]",6,8,28,33,10,2
zarbi,bizarre,adj_thing,Cette histoire est vraiment X.,standard,bizarre,Cette histoire est vraiment bizarre.,"[""<s>"", ""▁Cette"", ""▁histoire"", ""▁est"", ""▁vraiment"", ""▁bizarre"", ""."", ""</s>""]","[""▁bizarre""]",5,6,28,35,8,1
zarbi,bizarre,adj_thing,Je trouve ce truc assez X.,verlan,zarbi,Je trouve ce truc assez zarbi.,"[""<s>"", ""▁Je"", ""▁trouve"", ""▁ce"", ""▁truc"", ""▁assez"", ""▁"", ""zar"", ""bi"", ""."", ""</s>""]","[""zar"", ""bi""]",7,9,24,29,11,2
zarbi,bizarre,adj_thing,Je trouve ce truc assez X.,standard,bizarre,Je trouve ce truc assez bizarre.,"[""<s>"", ""▁Je"", ""▁trouve"", ""▁ce"", ""▁truc"", ""▁assez"", ""▁bizarre"", ""."", ""</s>""]","[""▁bizarre""]",6,7,24,31,9,1
zarbi,bizarre,adj_thing,"C'est trop X, non ?",verlan,zarbi,"C'est trop zarbi, non ?","[""<s>"", ""▁C"", ""'"", ""est"", ""▁trop"", ""▁"", ""zar"", ""bi"", "","", ""▁non"", ""▁?"", ""</s>""]","[""zar"", ""bi""]",6,8,11,16,12,2
