id,phenomenon,standard_sentence,informal_sentence,meaning_same,notes,n_phenomena,component_phenomena,subphenomena,is_pure
001,verlan,Cette femme est très bizarre.,Cette meuf est très zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
002,verlan,Cette femme est très énervée ce soir.,Cette meuf est très vénère ce soir.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
003,verlan,Mon frère devient vraiment lourd quand il attend trop.,Mon reuf devient vraiment relou quand il attend trop.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
004,verlan,Ta mère prépare une grande fête pour demain.,Ta reum prépare une grande teuf pour demain.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
005,verlan,Son père trouve cette situation très bizarre.,Son reup trouve cette situation très zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
006,verlan,Merci à ta mère pour son aide.,Cimer à ta reum pour son aide.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
007,verlan,Cette femme et son frère sont très énervés.,Cette meuf et son reuf sont très vénères.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
008,verlan,Mon frère trouve ce voisin un peu louche.,Mon reuf trouve ce voisin un peu chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
009,verlan,Cette femme paraît folle quand elle rit comme ça.,Cette meuf paraît ouf quand elle rit comme ça.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
010,verlan,Ta mère pense que ce plan est bizarre.,Ta reum pense que ce plan est zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
011,verlan,Son père organise une fête à la maison.,Son reup organise une teuf à la maison.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
012,verlan,Mon frère devient énervé à cause du bruit.,Mon reuf devient vénère à cause du bruit.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
013,verlan,Cette femme trouve ce dossier louche.,Cette meuf trouve ce dossier chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
014,verlan,Merci à son père pour le cadeau.,Cimer à son reup pour le cadeau.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
015,verlan,Ta mère devient énervée à cause du retard.,Ta reum devient vénère à cause du retard.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
016,verlan,Cette femme et son frère trouvent cela bizarre.,Cette meuf et son reuf trouvent cela zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
017,verlan,Mon frère trouve ce type lourd.,Mon reuf trouve ce type relou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
018,verlan,Son père paraît fou en ce moment.,Son reup paraît ouf en ce moment.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
019,verlan,Ta mère prépare une fête ce soir.,Ta reum prépare une teuf ce soir.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
020,verlan,Merci à cette femme pour sa patience.,Cimer à cette meuf pour sa patience.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
021,verlan,Mon frère pense que ce voisin est bizarre.,Mon reuf pense que ce voisin est zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
022,verlan,Cette femme devient énervée à cause du bus.,Cette meuf devient vénère à cause du bus.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
023,verlan,Son père trouve ce projet lourd.,Son reup trouve ce projet relou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
024,verlan,Ta mère pense que cette histoire est louche.,Ta reum pense que cette histoire est chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
025,verlan,Merci à mon frère pour son aide.,Cimer à mon reuf pour son aide.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
026,verlan,Cette femme veut une fête simple à la maison.,Cette meuf veut une teuf simple à la maison.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
027,verlan,Mon frère paraît fou quand il est fatigué.,Mon reuf paraît ouf quand il est fatigué.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
028,verlan,Ta mère devient lourde quand elle insiste trop.,Ta reum devient reloue quand elle insiste trop.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
029,verlan,Son père trouve ce bruit bizarre.,Son reup trouve ce bruit zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
030,verlan,Cette femme pense que ce plan est louche.,Cette meuf pense que ce plan est chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
031,verlan,Merci à ta mère pour le dîner.,Cimer à ta reum pour le dîner.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
032,verlan,Mon frère prépare une fête pour ses amis.,Mon reuf prépare une teuf pour ses amis.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
033,verlan,Cette femme devient énervée à cause de la file.,Cette meuf devient vénère à cause de la file.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
034,verlan,Son père trouve ce voisin bizarre.,Son reup trouve ce voisin zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
035,verlan,Ta mère juge ce dossier louche.,Ta reum juge ce dossier chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
036,verlan,Merci à cette femme pour le message.,Cimer à cette meuf pour le message.,1,verlan lexical substitution,1,verlan,verlan_lexical,1
