model_name,verlan,standard,template_group,template,sentence_verlan,sentence_standard,layer,layer_name,word_similarity,sentence_similarity,attention_available,intra_verlan,context_verlan,self_verlan,incoming_verlan,intra_standard,context_standard,self_standard,incoming_standard,target_subwords_verlan,target_subwords_standard,target_tokens_verlan,target_tokens_standard,token_span_verlan,token_span_standard
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,0,embedding,0.2406749725341797,0.8602100610733032,False,,,,,,,,,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,1,encoder_1,0.3188604712486267,0.9038931131362915,True,0.19568322225673107,0.7361122808229873,0.06820450519870604,0.1405869731739444,0.0,0.8939564859613215,0.10604354671258066,0.06435313569807463,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,2,encoder_2,0.40595048666000366,0.9167985916137695,True,0.09331167548790105,0.8876667956963818,0.01902157786537759,0.03306493241587778,0.0,0.9547438009572811,0.04525620915145001,0.01992699957023683,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,3,encoder_3,0.5456551313400269,0.914069414138794,True,0.15510268460724982,0.7971460539886813,0.047751267095486244,0.05515516160139831,0.0,0.9475744822356585,0.05242552996051399,0.03396788258775143,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,4,encoder_4,0.6630935668945312,0.9330289363861084,True,0.05610487430518399,0.9035706159820892,0.04032455022526332,0.035707381229534985,0.0,0.9544889000097904,0.045511118364427644,0.02309974151052858,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,5,encoder_5,0.7206482887268066,0.9482479095458984,True,0.08453164786710866,0.8908535399071581,0.024614852065645603,0.038069395354164995,0.0,0.9735824304752841,0.026417577751398146,0.032541599182980226,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,6,encoder_6,0.7540339231491089,0.9449620246887207,True,0.08694250252989494,0.8959133955630728,0.017144075674783734,0.05218277966038381,0.0,0.9594432211599523,0.04055679879800061,0.03587643307621479,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,7,encoder_7,0.7683531641960144,0.953324556350708,True,0.034115672815132995,0.9447158043154632,0.02116853580444231,0.035796668280832854,0.0,0.9638589466351823,0.03614105417972526,0.02442389065570452,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,8,encoder_8,0.7526923418045044,0.9532118439674377,True,0.053477749772099376,0.917463321660133,0.029058896902803485,0.044506661418887594,0.0,0.942691450465889,0.05730855593695419,0.03244705096199661,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,9,encoder_9,0.7324764728546143,0.9335331916809082,True,0.07543103501232966,0.9127056996726123,0.011863240583270011,0.04147264270312911,0.0,0.9649878732260754,0.035012127278390016,0.037788379891208174,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
camembert-base,meufs,femmes,noun_plural,Les X sont très joyeuses.,Les meufs sont très joyeuses.,Les femmes sont très joyeuses.,10,encoder_10,0.6844939589500427,0.9191369414329529,True,0.07410984410413006,0.9137284904122146,0.012161631076462225,0.0392728496724284,0.0,0.9755159414293807,0.024484051120039662,0.042157271381299266,3,1,"[""▁me"", ""uf"", ""s""]","[""▁femmes""]","[2, 5]","[2, 3]"
