verlan_form,true_base_form,rank,top1_prediction,top2_prediction,top3_prediction,top4_prediction,top5_prediction
meuf,femme,1,femme,pétasse,mère,juif,mec
çacomme,comme ça,1,comme ça,copain,balourd,frère,père
ken,niquer,7,nez,pute,joint,jeter,mec
teuf,fête,6,fou,juif,frère,copain,père
barjo,jobard,1,jobard,balourd,pute,daube,nez
zarbi,bizarre,28,daube,pute,jobard,joint,frère
vénère,énervé,3,femme,vas-y,énervé,pétasse,honte
resta,star de star,4,nez,pute,choper,star de star,masse
tej,jeter,6,nez,shit,mec,joint,pute
reum,mère,10,joint,pute,lourd,fond,mec
scud,disque,11,louche,pute,flic,jeter,daube
zarb,bizarre,18,pute,daube,balourd,jobard,nez
laissebéton,laisser tomber,1,laisser tomber,louche,lourd,balourd,poudre
zen,nez,1,nez,pute,star de star,joint,shit
pécho,choper,2,pétard,choper,pétasse,père,louche
duper,perdu,9,dingue,lourd,daube,pute,fou
keuf,flic,9,juif,fou,copain,daube,louche
zinc,cousin,23,nez,mec,pute,poudre,jeter
loubard,balourd,3,louche,lourd,balourd,jobard,fou
barjot,jobard,1,jobard,balourd,pétard,jeter,joint
beu,herbe,10,pute,daube,bite de bite,choper,nez
ripou,pourri,4,louche,fou,pute,pourri,poudre
donf,fond,2,juif,fond,fou,à fond,dingue
tepu,pute,1,pute,nez,shit,mec,père
visser,servir,2,jeter,servir,vas-y,pute,honte
keum,mec,14,pute,daube,dingue,choper,star de star
zique,musique,12,nez,niquer,dingue,juif,flic
tèj,jeter,5,pute,joint,masse,mec,jeter
dreu,poudre,24,daube,lourd,honte,dingue,fou
reufré,frère,3,énervé,fou,frère,à fond,juif
relou,lourd,2,louche,lourd,fou,dingue,balourd
das,sida,9,shit,pute,dingue,nez,masse
chichon,haschich,2,choper,haschich,cousin,copain,dingue
àdonf,à fond,2,fond,à fond,père,pute,mec
taspé,pétasse,2,pétard,pétasse,balourd,poudre,mec
teub,bite de bite,22,daube,pute,mec,star de star,joint
reup,père,29,pute,mec,jeter,copain,jobard
deouf,fou,1,fou,louche,dingue,daube,lourd
bedave,daube,1,daube,pute,bite de bite,choper,vas-y
tehon,honte,1,honte,frère,père,mec,pute
barje,jobard,6,jeter,pute,balourd,daube,joint
feuge,juif,7,fou,fête,flic,louche,dingue
guedin,dingue,1,dingue,nez,pute,mec,juif
painco,copain,3,pute,père,copain,nez,haschich
chelou,louche,1,louche,fou,choper,honte,pétasse
feuj,juif,1,juif,fou,femme,louche,flic
zyva,vas-y,1,vas-y,nez,sida,jeter,joint
oinj,joint,1,joint,jeter,juif,nez,sida
tarpé,pétard,4,balourd,pétasse,à fond,pétard,jeter
téci,cité,3,mec,mère,cité,bite de bite,pétasse
skeud,disque,14,sida,joint,dingue,jeter,masse
teushi,shit,5,pute,louche,mec,haschich,shit
sema,masse,4,sida,mec,pute,masse,nez
