id,phenomenon,standard_sentence,informal_sentence,meaning_same,notes
1,verlan,Je ne veux pas parler a cette femme ce soir.,Je veux pas parler a cette meuf ce soir.,1,synthetic balanced example; verlan/youth slang lexical substitutions
2,verlan,Je ne vais pas a la fete de mon frere demain.,Je vais pas a la teuf de mon reuf demain.,1,synthetic balanced example; verlan/youth slang lexical substitutions
3,verlan,Je ne trouve pas ce type tres bizarre au fond.,Je trouve pas ce mec tres zarbi au fond.,1,synthetic balanced example; verlan/youth slang lexical substitutions
4,verlan,Je ne peux pas laisser ce policier entrer dans la maison.,Je peux pas laisser ce keuf entrer dans la zonmai.,1,synthetic balanced example; verlan/youth slang lexical substitutions
5,verlan,Je ne supporte plus ce cours tres penible.,Je supporte plus ce cours trop relou.,1,synthetic balanced example; verlan/youth slang lexical substitutions
6,verlan,Je ne veux pas appeler ma mere devant la police.,Je veux pas appeler ma reum devant les keufs.,1,synthetic balanced example; verlan/youth slang lexical substitutions
7,verlan,Je ne comprends pas pourquoi ce type est fou.,Je comprends pas pourquoi ce mec est ouf.,1,synthetic balanced example; verlan/youth slang lexical substitutions
8,verlan,Je ne garde pas mon argent dans cette maison.,Je garde pas ma thune dans cette zonmai.,1,synthetic balanced example; verlan/youth slang lexical substitutions
9,verlan,Je ne peux pas ecouter cette musique avec ce type.,Je peux pas ecouter cette zic avec ce mec.,1,synthetic balanced example; verlan/youth slang lexical substitutions
10,verlan,Je ne vais pas faire ce travail bizarre ce soir.,Je vais pas faire ce taf chelou ce soir.,1,synthetic balanced example; verlan/youth slang lexical substitutions
11,verlan,Je ne veux pas revoir ce policier apres la fete.,Je veux pas revoir ce keuf apres la teuf.,1,synthetic balanced example; verlan/youth slang lexical substitutions
12,verlan,Je ne peux pas suivre cette femme jusque chez elle.,Je peux pas suivre cette meuf jusque chez elle.,1,synthetic balanced example; verlan/youth slang lexical substitutions
13,verlan,Je ne trouve pas cette voiture tres jolie.,Je trouve pas cette caisse tres jolie.,1,synthetic balanced example; verlan/youth slang lexical substitutions
14,verlan,Je ne veux pas vendre ce materiel a ce type.,Je veux pas vendre ce matos a ce mec.,1,synthetic balanced example; verlan/youth slang lexical substitutions
15,verlan,Je ne sais pas pourquoi cette femme est si enervee.,Je sais pas pourquoi cette meuf est si venere.,1,synthetic balanced example; verlan/youth slang lexical substitutions
16,verlan,Je ne veux pas rester dans ce quartier etrange.,Je veux pas rester dans ce quartier chelou.,1,synthetic balanced example; verlan/youth slang lexical substitutions
17,verlan,Je ne peux pas parler a mon frere pendant le travail.,Je peux pas parler a mon reuf pendant le taf.,1,synthetic balanced example; verlan/youth slang lexical substitutions
18,verlan,Je ne comprends pas cette fete bizarre du tout.,Je comprends pas cette teuf zarbi du tout.,1,synthetic balanced example; verlan/youth slang lexical substitutions
19,verlan,Je ne veux pas donner ma voiture a ce policier.,Je veux pas donner ma caisse a ce keuf.,1,synthetic balanced example; verlan/youth slang lexical substitutions
20,verlan,Je ne vais pas laisser ce type fou entrer ici.,Je vais pas laisser ce mec ouf entrer ici.,1,synthetic balanced example; verlan/youth slang lexical substitutions
21,verlan,Tu ne parles pas a cette femme comme ca.,Tu parles pas a cette meuf comme ca.,1,synthetic balanced example; verlan/youth slang lexical substitutions
22,verlan,Tu ne vas pas a la fete sans ton frere.,Tu vas pas a la teuf sans ton reuf.,1,synthetic balanced example; verlan/youth slang lexical substitutions
23,verlan,Tu ne trouves pas ce policier bizarre ?,Tu trouves pas ce keuf zarbi ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
24,verlan,"Tu ne gardes pas ton argent dans la maison, j'espere.","Tu gardes pas ta thune dans la zonmai, j'espere.",1,synthetic balanced example; verlan/youth slang lexical substitutions
25,verlan,Tu ne veux pas suivre ce type etrange ce soir.,Tu veux pas suivre ce mec chelou ce soir.,1,synthetic balanced example; verlan/youth slang lexical substitutions
26,verlan,Tu ne peux pas appeler la police maintenant.,Tu peux pas appeler les keufs maintenant.,1,synthetic balanced example; verlan/youth slang lexical substitutions
27,verlan,Tu ne laisses pas ta mere avec ce type fou.,Tu laisses pas ta reum avec ce mec ouf.,1,synthetic balanced example; verlan/youth slang lexical substitutions
28,verlan,Tu ne veux pas quitter ce travail penible ?,Tu veux pas quitter ce taf relou ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
29,verlan,Tu ne comprends pas cette femme bizarre ?,Tu comprends pas cette meuf zarbi ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
30,verlan,Tu ne vas pas vendre cette voiture a ton frere.,Tu vas pas vendre cette caisse a ton reuf.,1,synthetic balanced example; verlan/youth slang lexical substitutions
31,verlan,Est-ce que tu veux parler a cette femme apres la fete ?,Est-ce que tu veux parler a cette meuf apres la teuf ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
32,verlan,Est-ce que tu peux aider ton frere avec ce travail penible ?,Est-ce que tu peux aider ton reuf avec ce taf relou ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
33,verlan,Est-ce que tu trouves ce policier vraiment etrange ?,Est-ce que tu trouves ce keuf vraiment chelou ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
34,verlan,Est-ce que tu vas laisser ton argent dans la maison ?,Est-ce que tu vas laisser ta thune dans la zonmai ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
35,verlan,Est-ce que tu ecoutes cette musique avec ce type ?,Est-ce que tu ecoutes cette zic avec ce mec ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
36,verlan,Est-ce que tu veux revoir ma mere apres le travail ?,Est-ce que tu veux revoir ma reum apres le taf ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
37,verlan,Est-ce que tu peux calmer cette femme tres enervee ?,Est-ce que tu peux calmer cette meuf tres venere ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
38,verlan,Est-ce que tu vas prevenir la police pour cette fete ?,Est-ce que tu vas prevenir les keufs pour cette teuf ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
39,verlan,Est-ce que tu connais ce quartier vraiment bizarre ?,Est-ce que tu connais ce quartier vraiment chelou ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
40,verlan,Est-ce que tu veux acheter ce materiel a ce type ?,Est-ce que tu veux acheter ce matos a ce mec ?,1,synthetic balanced example; verlan/youth slang lexical substitutions
41,verlan,Il y a une femme etrange devant la maison.,Il y a une meuf chelou devant la zonmai.,1,synthetic balanced example; verlan/youth slang lexical substitutions
42,verlan,Il y a un policier pres de la fete ce soir.,Il y a un keuf pres de la teuf ce soir.,1,synthetic balanced example; verlan/youth slang lexical substitutions
