id,phenomenon,standard_sentence,informal_sentence,meaning_same,notes,standard_tokens,informal_tokens,standard_token_count,informal_token_count,standard_pll_score,informal_pll_score,standard_nll_score,informal_nll_score,standard_perplexity,informal_perplexity,representation_cosine_similarity,model_family
1,verlan,Je ne veux pas parler a cette femme ce soir.,Je veux pas parler a cette meuf ce soir.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁veux', '▁pas', '▁parler', '▁a', '▁cette', '▁femme', '▁ce', '▁soir', '.']","['▁Je', '▁veux', '▁pas', '▁parler', '▁a', '▁cette', '▁me', 'uf', '▁ce', '▁soir', '.']",11,11,-10.355141379616477,-10.354279258034445,,,,,0.9602521657943726,masked_lm
2,verlan,Je ne vais pas a la fete de mon frere demain.,Je vais pas a la teuf de mon reuf demain.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁vais', '▁pas', '▁a', '▁la', '▁fete', '▁de', '▁mon', '▁frere', '▁demain', '.']","['▁Je', '▁vais', '▁pas', '▁a', '▁la', '▁te', 'uf', '▁de', '▁mon', '▁re', 'uf', '▁demain', '.']",12,13,-10.63625462849935,-10.35483609713041,,,,,0.9303534626960754,masked_lm
3,verlan,Je ne trouve pas ce type tres bizarre au fond.,Je trouve pas ce mec tres zarbi au fond.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁trouve', '▁pas', '▁ce', '▁type', '▁tres', '▁bizarre', '▁au', '▁fond', '.']","['▁Je', '▁trouve', '▁pas', '▁ce', '▁mec', '▁tres', '▁', 'zar', 'bi', '▁au', '▁fond', '.']",11,12,-10.488177212801846,-10.360942204793295,,,,,0.9582659006118774,masked_lm
4,verlan,Je ne peux pas laisser ce policier entrer dans la maison.,Je peux pas laisser ce keuf entrer dans la zonmai.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁peux', '▁pas', '▁laisser', '▁ce', '▁policier', '▁entrer', '▁dans', '▁la', '▁maison', '.']","['▁Je', '▁peux', '▁pas', '▁laisser', '▁ce', '▁ke', 'uf', '▁entrer', '▁dans', '▁la', '▁', 'zon', 'mai', '.']",12,14,-10.354384104410807,-10.339363098144531,,,,,0.8959912061691284,masked_lm
5,verlan,Je ne supporte plus ce cours tres penible.,Je supporte plus ce cours trop relou.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁supporte', '▁plus', '▁ce', '▁cours', '▁tres', '▁pen', 'ible', '.']","['▁Je', '▁supporte', '▁plus', '▁ce', '▁cours', '▁trop', '▁re', 'lou', '.']",10,9,-10.42525405883789,-10.374003092447916,,,,,0.9527745842933655,masked_lm
6,verlan,Je ne veux pas appeler ma mere devant la police.,Je veux pas appeler ma reum devant les keufs.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁veux', '▁pas', '▁appeler', '▁ma', '▁mer', 'e', '▁devant', '▁la', '▁police', '.']","['▁Je', '▁veux', '▁pas', '▁appeler', '▁ma', '▁re', 'um', '▁devant', '▁les', '▁ke', 'uf', 's', '.']",12,13,-10.549589157104492,-10.38529264009916,,,,,0.8749286532402039,masked_lm
7,verlan,Je ne comprends pas pourquoi ce type est fou.,Je comprends pas pourquoi ce mec est ouf.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁comprends', '▁pas', '▁pourquoi', '▁ce', '▁type', '▁est', '▁fou', '.']","['▁Je', '▁comprends', '▁pas', '▁pourquoi', '▁ce', '▁mec', '▁est', '▁ou', 'f', '.']",10,10,-10.455850982666016,-10.367950439453125,,,,,0.9328343272209167,masked_lm
8,verlan,Je ne garde pas mon argent dans cette maison.,Je garde pas ma thune dans cette zonmai.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁garde', '▁pas', '▁mon', '▁argent', '▁dans', '▁cette', '▁maison', '.']","['▁Je', '▁garde', '▁pas', '▁ma', '▁th', 'une', '▁dans', '▁cette', '▁', 'zon', 'mai', '.']",10,12,-10.596097564697265,-10.441459019978842,,,,,0.8738757371902466,masked_lm
9,verlan,Je ne peux pas ecouter cette musique avec ce type.,Je peux pas ecouter cette zic avec ce mec.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁peux', '▁pas', '▁eco', 'uter', '▁cette', '▁musique', '▁avec', '▁ce', '▁type', '.']","['▁Je', '▁peux', '▁pas', '▁eco', 'uter', '▁cette', '▁z', 'ic', '▁avec', '▁ce', '▁mec', '.']",12,12,-10.384053548177084,-10.371454874674479,,,,,0.953199565410614,masked_lm
10,verlan,Je ne vais pas faire ce travail bizarre ce soir.,Je vais pas faire ce taf chelou ce soir.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁vais', '▁pas', '▁faire', '▁ce', '▁travail', '▁bizarre', '▁ce', '▁soir', '.']","['▁Je', '▁vais', '▁pas', '▁faire', '▁ce', '▁ta', 'f', '▁che', 'lou', '▁ce', '▁soir', '.']",11,12,-10.43092207475142,-10.325579325358072,,,,,0.9255539774894714,masked_lm
11,verlan,Je ne veux pas revoir ce policier apres la fete.,Je veux pas revoir ce keuf apres la teuf.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁veux', '▁pas', '▁revoir', '▁ce', '▁policier', '▁apres', '▁la', '▁fete', '.']","['▁Je', '▁veux', '▁pas', '▁revoir', '▁ce', '▁ke', 'uf', '▁apres', '▁la', '▁te', 'uf', '.']",11,12,-10.444068908691406,-10.356718063354492,,,,,0.9331066012382507,masked_lm
12,verlan,Je ne peux pas suivre cette femme jusque chez elle.,Je peux pas suivre cette meuf jusque chez elle.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁peux', '▁pas', '▁suivre', '▁cette', '▁femme', '▁jusque', '▁chez', '▁elle', '.']","['▁Je', '▁peux', '▁pas', '▁suivre', '▁cette', '▁me', 'uf', '▁jusque', '▁chez', '▁elle', '.']",11,11,-10.38736932927912,-10.308997414328836,,,,,0.9550864696502686,masked_lm
13,verlan,Je ne trouve pas cette voiture tres jolie.,Je trouve pas cette caisse tres jolie.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁trouve', '▁pas', '▁cette', '▁voiture', '▁tres', '▁jolie', '.']","['▁Je', '▁trouve', '▁pas', '▁cette', '▁caisse', '▁tres', '▁jolie', '.']",9,8,-10.546117146809896,-10.473766326904297,,,,,0.9610775709152222,masked_lm
14,verlan,Je ne veux pas vendre ce materiel a ce type.,Je veux pas vendre ce matos a ce mec.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁veux', '▁pas', '▁vendre', '▁ce', '▁materiel', '▁a', '▁ce', '▁type', '.']","['▁Je', '▁veux', '▁pas', '▁vendre', '▁ce', '▁matos', '▁a', '▁ce', '▁mec', '.']",11,10,-10.345074740323154,-10.225602722167968,,,,,0.9454880952835083,masked_lm
15,verlan,Je ne sais pas pourquoi cette femme est si enervee.,Je sais pas pourquoi cette meuf est si venere.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁sais', '▁pas', '▁pourquoi', '▁cette', '▁femme', '▁est', '▁si', '▁en', 'er', 've', 'e', '.']","['▁Je', '▁sais', '▁pas', '▁pourquoi', '▁cette', '▁me', 'uf', '▁est', '▁si', '▁ven', 'ere', '.']",14,12,-10.381308419363839,-10.434754053751627,,,,,0.9290301203727722,masked_lm
16,verlan,Je ne veux pas rester dans ce quartier etrange.,Je veux pas rester dans ce quartier chelou.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁veux', '▁pas', '▁rester', '▁dans', '▁ce', '▁quartier', '▁et', 'range', '.']","['▁Je', '▁veux', '▁pas', '▁rester', '▁dans', '▁ce', '▁quartier', '▁che', 'lou', '.']",11,10,-10.497343583540482,-10.496131896972656,,,,,0.9080714583396912,masked_lm
17,verlan,Je ne peux pas parler a mon frere pendant le travail.,Je peux pas parler a mon reuf pendant le taf.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁peux', '▁pas', '▁parler', '▁a', '▁mon', '▁frere', '▁pendant', '▁le', '▁travail', '.']","['▁Je', '▁peux', '▁pas', '▁parler', '▁a', '▁mon', '▁re', 'uf', '▁pendant', '▁le', '▁ta', 'f', '.']",12,13,-10.585172017415365,-10.392787053034855,,,,,0.9511318206787109,masked_lm
18,verlan,Je ne comprends pas cette fete bizarre du tout.,Je comprends pas cette teuf zarbi du tout.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁comprends', '▁pas', '▁cette', '▁fete', '▁bizarre', '▁du', '▁tout', '.']","['▁Je', '▁comprends', '▁pas', '▁cette', '▁te', 'uf', '▁', 'zar', 'bi', '▁du', '▁tout', '.']",10,12,-10.430401611328126,-10.415717442830404,,,,,0.9405026435852051,masked_lm
19,verlan,Je ne veux pas donner ma voiture a ce policier.,Je veux pas donner ma caisse a ce keuf.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁veux', '▁pas', '▁donner', '▁ma', '▁voiture', '▁a', '▁ce', '▁policier', '.']","['▁Je', '▁veux', '▁pas', '▁donner', '▁ma', '▁caisse', '▁a', '▁ce', '▁ke', 'uf', '.']",11,11,-10.470209988680752,-10.34296902743253,,,,,0.9430503845214844,masked_lm
20,verlan,Je ne vais pas laisser ce type fou entrer ici.,Je vais pas laisser ce mec ouf entrer ici.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Je', '▁ne', '▁vais', '▁pas', '▁laisser', '▁ce', '▁type', '▁fou', '▁entrer', '▁ici', '.']","['▁Je', '▁vais', '▁pas', '▁laisser', '▁ce', '▁mec', '▁ou', 'f', '▁entrer', '▁ici', '.']",11,11,-10.369958357377486,-10.29837452281605,,,,,0.9438683986663818,masked_lm
21,verlan,Tu ne parles pas a cette femme comme ca.,Tu parles pas a cette meuf comme ca.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Tu', '▁ne', '▁parle', 's', '▁pas', '▁a', '▁cette', '▁femme', '▁comme', '▁ca', '.']","['▁Tu', '▁parle', 's', '▁pas', '▁a', '▁cette', '▁me', 'uf', '▁comme', '▁ca', '.']",11,11,-10.42166553844105,-10.40348954634233,,,,,0.9742550849914551,masked_lm
22,verlan,Tu ne vas pas a la fete sans ton frere.,Tu vas pas a la teuf sans ton reuf.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Tu', '▁ne', '▁vas', '▁pas', '▁a', '▁la', '▁fete', '▁sans', '▁ton', '▁frere', '.']","['▁Tu', '▁vas', '▁pas', '▁a', '▁la', '▁te', 'uf', '▁sans', '▁ton', '▁re', 'uf', '.']",11,12,-10.524250377308238,-10.354703267415365,,,,,0.9395399689674377,masked_lm
23,verlan,Tu ne trouves pas ce policier bizarre ?,Tu trouves pas ce keuf zarbi ?,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Tu', '▁ne', '▁trouve', 's', '▁pas', '▁ce', '▁policier', '▁bizarre', '▁?']","['▁Tu', '▁trouve', 's', '▁pas', '▁ce', '▁ke', 'uf', '▁', 'zar', 'bi', '▁?']",9,11,-10.361397637261284,-10.268160039728338,,,,,0.9185692667961121,masked_lm
24,verlan,"Tu ne gardes pas ton argent dans la maison, j'espere.","Tu gardes pas ta thune dans la zonmai, j'espere.",1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Tu', '▁ne', '▁gardes', '▁pas', '▁ton', '▁argent', '▁dans', '▁la', '▁maison', ',', '▁j', ""'"", 'espere', '.']","['▁Tu', '▁gardes', '▁pas', '▁ta', '▁th', 'une', '▁dans', '▁la', '▁', 'zon', 'mai', ',', '▁j', ""'"", 'espere', '.']",14,16,-10.544440133231026,-10.55021858215332,,,,,0.9272618293762207,masked_lm
25,verlan,Tu ne veux pas suivre ce type etrange ce soir.,Tu veux pas suivre ce mec chelou ce soir.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Tu', '▁ne', '▁veux', '▁pas', '▁suivre', '▁ce', '▁type', '▁et', 'range', '▁ce', '▁soir', '.']","['▁Tu', '▁veux', '▁pas', '▁suivre', '▁ce', '▁mec', '▁che', 'lou', '▁ce', '▁soir', '.']",12,11,-10.34836196899414,-10.439680619673295,,,,,0.8954917192459106,masked_lm
26,verlan,Tu ne peux pas appeler la police maintenant.,Tu peux pas appeler les keufs maintenant.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Tu', '▁ne', '▁peux', '▁pas', '▁appeler', '▁la', '▁police', '▁maintenant', '.']","['▁Tu', '▁peux', '▁pas', '▁appeler', '▁les', '▁ke', 'uf', 's', '▁maintenant', '.']",9,10,-10.65971204969618,-10.500920867919922,,,,,0.9149516224861145,masked_lm
27,verlan,Tu ne laisses pas ta mere avec ce type fou.,Tu laisses pas ta reum avec ce mec ouf.,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Tu', '▁ne', '▁laisse', 's', '▁pas', '▁ta', '▁mer', 'e', '▁avec', '▁ce', '▁type', '▁fou', '.']","['▁Tu', '▁laisse', 's', '▁pas', '▁ta', '▁re', 'um', '▁avec', '▁ce', '▁mec', '▁ou', 'f', '.']",13,13,-10.385379497821514,-10.339179405799278,,,,,0.9326176643371582,masked_lm
28,verlan,Tu ne veux pas quitter ce travail penible ?,Tu veux pas quitter ce taf relou ?,1,synthetic balanced example; verlan/youth slang lexical substitutions,"['▁Tu', '▁ne', '▁veux', '▁pas', '▁quitter', '▁ce', '▁travail', '▁pen', 'ible', '▁?']","['▁Tu', '▁veux', '▁pas', '▁quitter', '▁ce', '▁ta', 'f', '▁re', 'lou', '▁?']",10,10,-10.547040557861328,-10.45,,,,,0.9315115213394165,masked_lm
