id,phenomenon,standard_sentence,informal_sentence,meaning_same,notes,n_phenomena,component_phenomena,subphenomena,is_pure,standard_tokens,informal_tokens,standard_token_count,informal_token_count,standard_pll_score,informal_pll_score,standard_nll_score,informal_nll_score,standard_perplexity,informal_perplexity,representation_cosine_similarity,model_family
1,verlan,Cette femme est très bizarre.,Cette meuf est très zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁est', '▁très', '▁bizarre', '.']","['▁Cette', '▁me', 'uf', '▁est', '▁très', '▁', 'zar', 'bi', '.']",6,9,-10.306329727172852,-10.487549675835503,,,,,0.9131650924682617,masked_lm
2,verlan,Cette femme est très énervée ce soir.,Cette meuf est très vénère ce soir.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁est', '▁très', '▁énervé', 'e', '▁ce', '▁soir', '.']","['▁Cette', '▁me', 'uf', '▁est', '▁très', '▁vé', 'n', 'ère', '▁ce', '▁soir', '.']",9,11,-10.22645738389757,-10.315705732865768,,,,,0.9210860133171082,masked_lm
3,verlan,Mon frère devient vraiment lourd quand il attend trop.,Mon reuf devient vraiment relou quand il attend trop.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Mon', '▁frère', '▁devient', '▁vraiment', '▁lourd', '▁quand', '▁il', '▁attend', '▁trop', '.']","['▁Mon', '▁re', 'uf', '▁devient', '▁vraiment', '▁re', 'lou', '▁quand', '▁il', '▁attend', '▁trop', '.']",10,12,-10.424407196044921,-10.303345998128256,,,,,0.9441564083099365,masked_lm
4,verlan,Ta mère prépare une grande fête pour demain.,Ta reum prépare une grande teuf pour demain.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Ta', '▁mère', '▁prépare', '▁une', '▁grande', '▁fête', '▁pour', '▁demain', '.']","['▁Ta', '▁re', 'um', '▁prépare', '▁une', '▁grande', '▁te', 'uf', '▁pour', '▁demain', '.']",9,11,-10.569520738389757,-10.412634416060014,,,,,0.8676016926765442,masked_lm
5,verlan,Son père trouve cette situation très bizarre.,Son reup trouve cette situation très zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Son', '▁père', '▁trouve', '▁cette', '▁situation', '▁très', '▁bizarre', '.']","['▁Son', '▁re', 'up', '▁trouve', '▁cette', '▁situation', '▁très', '▁', 'zar', 'bi', '.']",8,11,-10.313397407531738,-10.362591830166904,,,,,0.889868974685669,masked_lm
6,verlan,Merci à ta mère pour son aide.,Cimer à ta reum pour son aide.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Merci', '▁à', '▁ta', '▁mère', '▁pour', '▁son', '▁aide', '.']","['▁C', 'imer', '▁à', '▁ta', '▁re', 'um', '▁pour', '▁son', '▁aide', '.']",8,10,-10.488378524780273,-10.379696655273438,,,,,0.7795402407646179,masked_lm
7,verlan,Cette femme et son frère sont très énervés.,Cette meuf et son reuf sont très vénères.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁et', '▁son', '▁frère', '▁sont', '▁très', '▁énervé', 's', '.']","['▁Cette', '▁me', 'uf', '▁et', '▁son', '▁re', 'uf', '▁sont', '▁très', '▁vé', 'n', 'ères', '.']",10,13,-10.409336853027344,-10.526607806865986,,,,,0.8598241209983826,masked_lm
8,verlan,Mon frère trouve ce voisin un peu louche.,Mon reuf trouve ce voisin un peu chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Mon', '▁frère', '▁trouve', '▁ce', '▁voisin', '▁un', '▁peu', '▁l', 'ouche', '.']","['▁Mon', '▁re', 'uf', '▁trouve', '▁ce', '▁voisin', '▁un', '▁peu', '▁che', 'lou', '.']",10,11,-10.293803405761718,-10.370052684437145,,,,,0.9326393008232117,masked_lm
9,verlan,Cette femme paraît folle quand elle rit comme ça.,Cette meuf paraît ouf quand elle rit comme ça.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁paraît', '▁folle', '▁quand', '▁elle', '▁rit', '▁comme', '▁ça', '.']","['▁Cette', '▁me', 'uf', '▁paraît', '▁ou', 'f', '▁quand', '▁elle', '▁rit', '▁comme', '▁ça', '.']",10,12,-10.40999984741211,-10.495408376057943,,,,,0.943449854850769,masked_lm
10,verlan,Ta mère pense que ce plan est bizarre.,Ta reum pense que ce plan est zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Ta', '▁mère', '▁pense', '▁que', '▁ce', '▁plan', '▁est', '▁bizarre', '.']","['▁Ta', '▁re', 'um', '▁pense', '▁que', '▁ce', '▁plan', '▁est', '▁', 'zar', 'bi', '.']",9,12,-10.433100382486979,-10.368963241577148,,,,,0.8898012638092041,masked_lm
11,verlan,Son père organise une fête à la maison.,Son reup organise une teuf à la maison.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Son', '▁père', '▁organise', '▁une', '▁fête', '▁à', '▁la', '▁maison', '.']","['▁Son', '▁re', 'up', '▁organise', '▁une', '▁te', 'uf', '▁à', '▁la', '▁maison', '.']",9,11,-10.477671305338541,-10.31778925115412,,,,,0.8703768253326416,masked_lm
12,verlan,Mon frère devient énervé à cause du bruit.,Mon reuf devient vénère à cause du bruit.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Mon', '▁frère', '▁devient', '▁énervé', '▁à', '▁cause', '▁du', '▁bruit', '.']","['▁Mon', '▁re', 'uf', '▁devient', '▁vé', 'n', 'ère', '▁à', '▁cause', '▁du', '▁bruit', '.']",9,12,-10.401440938313803,-10.401546478271484,,,,,0.8695042729377747,masked_lm
