verlan_form,base_form,pos,etymology_text,gloss,experiment_keep,experiment_tier,selection_reason
barjot,jobard,adj,"(verlan) Verlan de jobard. Le terme barjot (nom 1) ne semblant pas être attesté comme nom commun avant 1956 ^([1]), l’origine de son usage serait peut-être liée à l’amiral Pierre Barjot qui, chargé de la partie aéronavale durant la crise du canal de Suez, aurait accompli une action insensée permettant pourtant la réussite de la mission. référence nécessaire (résoudre le problème)",Se dit d’une personne folle ou qui prend des risques.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
chanmé,méchant,adj,"(verlan) De méchant, par antiphrase.","Remarquable et admirable, particulièrement agréable, génial.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
chelou,louche,adj,"(verlan) Verlan de louche, au sens de bizarre, par inversion des deux syllabes.","Bizarre, étrange, voire vraiment bizarre, très étrange.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
cheum,moche,adj,Verlan de moche.,Moche.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
chébran,branché,adj,(verlan) Verlan de branché.,Branché (surtout utilisé dans les années 1980 et 1990).,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
duper,perdu,adj,(verlan) Verlan de perdu.,Perdu.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
foncedé,défoncé,adj,(verlan) de défoncé.,"Défoncé, drogué, stone.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
kéblo,bloqué,adj,"(verlan) Verlan de bloqué, bloquer.",Bloqué.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
ouf,fou,adj,"Composé de de et de ouf, verlan de fou.",Vraiment ; beaucoup ; bien.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
relou,lourd,adj,"Verlan de lourd (\luʁ\) par inversion du son \lu\ et du son \ʁ\ auquel est rajouté un « e » \ə\ pour le rendre euphonique. Le sens de lourd est celui de « pesant », en parlant de la présence d’une personne.","Irritant ou frustrant, en parlant notamment d’une personne.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
reuch,cher,adj,,Cher.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
scred,discret,adj,"(verlan) par apocope de scrédi, verlan de discret.",Discret.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
tebé,bête,adj,Verlan de bête Verlan de « bête ».,Bête.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
vénère,énervé,adj,(verlan) Verlan de énervé.,Énervé ; en colère.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
zarbi,bizarre,adj,(verlan) Verlan du mot français bizarre par inversion des deux syllabes.,"Bizarre, étrange.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
ienb,bien,adv,(verlan) de bien.,Bien.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
cimer,merci,intj,(verlan) Du mot français merci.,Merci.,True,core,core: clear mapping; useful discourse marker for register/style experiments
zyva,vas-y,intj,"(verlan) Verlan de vas-y, en inversant les deux syllabes \va\ et \zi\.","Exclamation polysémique qui exprime de la surprise, de l'agacement ou du mépris.",True,core,core: clear mapping; useful discourse marker for register/style experiments
babtou,toubab,noun,Verlan de toubab.,"Blanc, occidental.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
beur,arabe,noun,(verlan) Verlan de arabe.,Personne d’origine maghrébine.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
caillera,racaille,noun,(verlan) Verlan de racaille : \ʁa.kaj\ devenu \kaj.ʁa\.,Groupe de personnes considérées comme méprisables dans une population.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
céfran,français,noun,(verlan) Verlan de français.,Français (langue).,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
genhar,argent,noun,Verlan de argent.,"Argent, sou.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
iench,chien,noun,Verlan de chien.,Chien.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
iencli,client,noun,(verlan) Verlan de client.,Client (généralement une personne qui achète de la drogue).,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
kebla,black,noun,"(verlan) Verlan du mot « black », désignant les personnes de couleur noire. Le mot « black » vient de l'anglais signifiant « noir ».",Noir (personne noire).,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
keum,mec,noun,(verlan) Verlan de mec.,Mec.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
meuf,femme,noun,"(verlan) Verlan de femme, remonte au moins à 1984 (attesté dans le film À Nous les Garçons), à travers la forme meufa, elle-même existant en 1971 dans la chanson de Jacques Dutronc J’avais la cervelle qui faisait des vagues. référence nécessaire (résoudre le problème)",Individu de sexe ou genre féminin.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
mifa,famille,noun,(verlan) Verlan de famille.,"Famille, bande, clan.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
oinj,joint,noun,(verlan) Verlan de joint.,"Joint, cigarette de cannabis.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
painco,copain,noun,(verlan) de copain.,Copain.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
pineco,copine,noun,Verlan de copine de copine.,Copine.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
refrè,frère,noun,(verlan) de frère.,Frère.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
renoi,noir,noun,(verlan) de Noir.,"Noir, personne ayant la peau noire.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
reup,père,noun,"(verlan) de père, la forme apocopée reupé parfois utilisée.",Père.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
reuss,sœur,noun,Verlan de sœur de sœur.,Sœur.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
skeud,disque,noun,(verlan) Verlan de disque.,Disque.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
streum,monstre,noun,"(verlan) apocope de streumon/stremon, Verlan de monstre.",Monstre.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
tarba,bâtard,noun,(verlan) Verlan de bâtard.,Bâtard.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
